title,page_id,char_count,word_count,sentence_count,syllable_count,complex_word_count,ARI,CLI,FRE,FKG,GFI,LIX,SMOG,section_count,subsection_count,paragraph_count,mean_section_size,mean_paragraph_size,longest_section_size,shortest_section_size,abstract_size,abstract_text_ratio,citation_count,citation_per_text,external_link_count,internal_link_count,link_per_text,image_count,image_per_text,infobox,mean_sentence_size,largest_sentence_size,shortest_sentence_size,question_count,exclamation_count,pronoun_start_count,pronoun_start_count_sentence_ratio,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,review_per_day,review_per_user,revert_count,discussion_count,quality
John C. Calhoun,52110,75084,13454,410,19384,2002,14.9,12.94,48.74,12.0,11.94,56.24,14.2,16,21,119,4533.8125,632.0588235294117,15609,1282,3699,0.04926482339779447,95,0.001265249587129082,6,369,0.004994406264983218,14,0.00018645783389270685,1,182.14878048780488,686,1,2,1,57,0.13902439024390245,8079,6757,2365,1122,1243,2000,0.8363658868671865,2.8570824524312894,1064,394,1
Yasser Arafat,34289,60485,10765,334,15264,1501,15.4,13.0,47.83,12.4,11.84,55.29,14.0,15,20,91,3881.9333333333334,665.8791208791209,10857,147,3298,0.054525915516243695,266,0.004397784574687939,33,511,0.008993965445978342,16,0.0002645283954699512,1,180.11377245508982,805,3,1,0,26,0.07784431137724551,8294,7459,3004,1628,1376,2514,0.8993248131179166,2.4830226364846872,1470,2250,1
Pedro I of Brazil,81480,43515,8171,271,11132,1018,14.0,11.44,56.59,11.1,12.16,51.72,13.4,13,18,90,3177.153846153846,484.6333333333333,8404,85,2965,0.06813742387682409,36,0.000827300930713547,0,322,0.007399747213604504,28,0.0006434562794438699,1,159.61623616236162,1207,32,1,2,54,0.1992619926199262,7965,2625,828,477,351,703,0.3295668549905838,3.170289855072464,333,341,1
Alec Douglas-Home,175847,60141,10930,331,15163,1490,15.3,12.36,46.91,12.7,12.24,55.34,14.1,18,13,105,3201.4444444444443,573.8,12389,12,3522,0.05856237841073477,203,0.0033754011406527994,8,432,0.007316140403385378,13,0.00021615869373638617,1,180.68882175226585,1432,3,2,1,45,0.13595166163141995,7821,2210,865,585,280,706,0.2825725610535737,2.554913294797688,213,247,1
Leucippus,17924,17960,3084,100,4611,547,15.2,13.52,49.35,11.8,11.94,55.02,14.9,9,8,27,1825.5555555555557,666.7407407407408,8562,440,1818,0.10122494432071269,0,0.0,0,98,0.005456570155902005,1,5.5679287305122496e-05,1,178.61,520,34,0,0,14,0.14,8352,710,392,260,132,343,0.0850095785440613,1.8112244897959184,174,59,1
Tau Ceti,31307,21882,4085,119,5660,565,12.3,10.62,50.97,11.2,11.19,47.35,13.3,9,8,36,2282.777777777778,609.6944444444445,12067,972,1662,0.07595283794899918,127,0.005803857051457819,2,169,0.00781464217164793,0,0.0,0,182.890756302521,606,40,0,0,1,0.008403361344537815,8232,1321,490,327,163,402,0.16047133138969874,2.695918367346939,96,161,1
Operation Crossroads,227519,59488,10973,361,15025,1306,12.8,11.43,59.43,10.0,10.59,47.13,12.5,16,17,98,3598.1875,608.295918367347,16467,427,2820,0.047404518558364715,219,0.003681414739107047,4,282,0.004807692307692308,22,0.0003698224852071006,1,163.75069252077563,695,21,0,0,16,0.0443213296398892,7714,1472,646,427,219,579,0.19082188229193675,2.278637770897833,93,229,1
Daniel Boone,71792,36582,6876,235,8981,732,13.1,11.37,59.03,10.1,10.57,50.28,12.1,12,8,67,2905.3333333333335,546.8059701492538,8665,1451,2157,0.05896342463506642,17,0.00046470941993330053,2,227,0.006259909244983872,10,0.0002733584823137062,1,154.68510638297872,840,21,0,2,29,0.12340425531914893,7988,5670,2603,1082,1521,2179,0.7098147220831247,2.178255858624664,1642,226,1
South Asian river dolphin,267307,13610,2443,98,3319,262,12.4,12.06,61.56,9.2,10.43,46.6,11.6,8,1,22,1553.25,619.8181818181819,3186,1685,1351,0.09926524614254224,84,0.006171932402645114,0,143,0.010506980161645849,12,0.000881704628949302,0,137.8673469387755,342,35,0,0,0,0.0,7654,1201,497,342,155,416,0.15691141886595245,2.4164989939637826,178,135,1
"Æthelbald, King of Wessex",48585,16672,3156,86,4125,283,15.7,10.91,51.92,12.9,13.04,55.5,12.6,9,1,13,1676.2222222222222,1284.6153846153845,5151,1511,1722,0.10328694817658349,1,5.998080614203455e-05,0,96,0.005758157389635317,3,0.00017994241842610365,1,192.88372093023256,551,33,0,0,7,0.08139534883720931,8114,418,198,156,42,167,0.05151589844712842,2.111111111111111,35,41,1
