,title,page_id,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,revert_count,discussion_count,quality
287,Cottingley Fairies,6751,8295,1608,577,325,252,492,194,273,FA
288,Niobium,21275,8442,2056,810,511,299,697,230,185,FA
289,Corona Borealis,6420,8319,745,313,237,76,273,46,68,FA
290,Mary Wollstonecraft,19834,8335,2491,943,656,288,797,297,656,FA
291,Starship Troopers,28426,8303,3888,1719,879,840,1489,424,803,FA
292,Blonde on Blonde,200020,7768,2064,608,390,218,512,129,249,FA
293,Ralph Richardson,163036,7850,1018,413,293,120,350,69,65,FA
294,OK Computer,84636,7958,5299,1642,800,842,1364,666,423,FA
295,Prince Louis of Battenberg,298658,7619,1384,458,313,145,372,96,133,FA
296,Sandy Koufax,84625,7958,3803,1091,586,505,940,332,235,FA
297,Leslie Groves,60540,8028,1076,438,305,133,386,107,80,FA
298,Zebra,34460,8261,4382,1840,991,849,1566,910,684,FA
299,Frederick Delius,151143,7886,1345,420,286,134,358,83,103,FA
300,James Bowie,282390,7640,2361,1103,523,580,959,541,211,FA
301,Starfish,228613,7712,5275,2372,1014,1358,2059,1479,528,FA
302,Phoenix (constellation),49123,8109,653,323,209,114,294,89,24,FA
303,Lead,17747,8442,7918,2688,1271,1417,2316,1464,897,FA
304,Space Invaders,74337,7981,2732,1252,687,565,1075,376,289,FA
305,Star Trek IV: The Voyage Home,88609,7950,2036,1028,557,472,886,212,188,FA
306,Oceanic whitetip shark,270185,7651,1205,577,364,213,504,194,123,FA
307,Peterloo Massacre,65626,8004,2423,839,477,362,728,360,548,FA
308,Queen Elizabeth The Queen Mother,46744,8125,4692,1634,1012,623,1348,483,1275,FA
309,Australian raven,211618,7743,794,305,205,100,273,70,50,FA
310,Plymouth Colony,218110,7730,3435,1549,717,832,1349,785,272,FA
311,Ring ouzel,184836,7800,478,170,139,31,142,38,11,FA
312,Camille Saint-Saëns,48927,8111,2602,1239,638,601,1052,505,288,FA
313,Louis Riel,18664,8206,5007,1844,909,935,1504,1182,1107,FA
314,USS Indiana (BB-1),189596,7790,535,189,161,28,155,41,40,FA
315,Malcolm X,20796,8226,8541,3055,1886,1169,2539,1506,3035,FA
316,Angel of Death (Slayer song),218937,7729,806,394,239,155,349,60,70,FA
317,Peter Sellers,24518,8276,5064,1670,940,730,1408,619,2531,FA
318,Bodyline,18053,8336,903,421,272,149,372,76,153,FA
319,The Relapse,216855,7733,437,185,122,63,163,76,59,FA
320,Radiocarbon dating,26197,8258,3765,1322,689,633,1132,776,1067,FA
321,Namco,300208,7617,1573,671,374,297,580,127,139,FA
322,Moon,19331,8270,11356,4107,2603,1505,3405,2250,3226,FA
323,Red-billed chough,195765,7777,898,261,202,59,220,56,60,FA
324,Amphetamine,2504,8265,6318,2039,1005,1034,1777,676,1499,FA
325,Comet Shoemaker–Levy 9,6794,8291,1242,688,440,248,600,184,164,FA
326,Lynx (constellation),193577,7782,663,290,207,83,250,64,30,FA
327,Helium,13256,8276,4968,2242,1193,1049,1928,1072,1029,FA
328,Nikolai Rimsky-Korsakov,75847,7977,2667,820,508,312,708,267,149,FA
329,Australian magpie,195781,7777,1418,572,373,199,497,159,176,FA
330,Doolittle (album),238428,7697,1812,522,339,183,437,97,92,FA
331,Walt Disney,32917,8299,8057,3267,1975,1292,2710,1217,2004,FA
332,Song dynasty,56978,8146,5421,1731,857,875,1479,968,274,FA
333,Jochen Rindt,45388,8133,901,347,243,104,292,72,80,FA
334,Barn swallow,66174,8002,1676,644,421,223,544,200,128,FA
335,Red-throated wryneck,255549,7668,269,102,83,19,90,22,10,FA
336,Die Hard,97646,7940,5711,2701,1268,1433,2386,954,367,FA
337,Covent Garden,161781,7854,1548,597,415,182,506,154,75,FA
338,Holkham National Nature Reserve,103990,7927,315,96,86,10,85,22,17,FA
339,Red-necked grebe,203813,7759,686,224,186,38,190,75,37,FA
340,Super Mario Bros.: The Lost Levels,147941,7894,1843,916,500,416,775,215,255,FA
341,Pi,23601,8264,9879,3271,2156,1115,2693,1705,5618,FA
342,Andromeda (constellation),153353,7879,1322,542,336,206,468,147,82,FA
343,1975 Australian constitutional crisis,52851,8215,2229,717,450,267,598,220,727,FA
344,Virginia,32432,8348,12857,4129,1997,2133,3511,2224,1066,FA
345,Symphony No. 8 (Mahler),189981,7789,1086,379,238,141,322,75,136,FA
346,Rod Steiger,61258,8023,2411,661,431,230,561,122,366,FA
347,Rachel Carson,81274,7965,4811,2233,1046,1187,1898,1340,405,FA
348,Ulysses S. Grant,31752,8491,21239,3700,2083,1617,3017,1943,14552,FA
349,Sgt. Pepper's Lonely Hearts Club Band,65450,8005,10040,2964,1385,1579,2529,1536,1607,FA
350,Tina Fey,102685,7929,5502,2712,1244,1468,2361,913,280,FA
351,Anfield,178253,7816,3914,1864,942,922,1609,833,197,FA
352,Pierre Boulez,66592,8001,3452,632,427,205,525,170,323,FA
353,Stephen I of Hungary,29594,8197,1906,620,390,230,516,160,388,FA
354,Canada lynx,275896,7645,1879,819,407,412,694,454,107,FA
355,McDonnell Douglas F-4 Phantom II,11759,8158,4881,1657,886,772,1365,902,484,FA
356,USS Massachusetts (BB-2),189620,7790,473,178,154,24,154,27,48,FA
357,Perseus (constellation),209441,7747,1079,430,275,155,366,121,68,FA
358,Interstate 68,89588,7948,759,258,183,75,212,55,82,FA
359,Albertosaurus,1367,8357,1256,540,323,217,454,208,150,FA
360,Henry III of England,46591,8126,2267,1091,686,405,946,365,212,FA
361,U2,52780,8359,15554,5701,2231,3470,4849,3273,2294,FA
362,Winfield Scott Hancock,171498,7829,1131,574,348,226,504,217,96,FA
363,Sir Gawain and the Green Knight,28833,8158,2927,1140,603,537,988,390,335,FA
364,Leonardo DiCaprio,52711,8073,9754,4065,2143,1922,3414,1521,914,FA
365,Charles II of England,46688,8125,5146,2227,1093,1134,1905,1046,512,FA
366,Metalloid,85425,7957,2815,810,419,391,717,355,436,FA
367,James Longstreet,49588,8106,3403,955,522,433,810,427,127,FA
368,Carmen,37914,8158,2761,1171,629,542,1008,426,314,FA
369,Kinetoscope,230916,7708,1370,378,217,161,334,151,66,FA
370,"Ecgberht, King of Wessex",48570,8114,1029,403,274,129,329,121,207,FA
371,David Bowie,8786,8263,14593,5985,2937,3048,5129,2833,2503,FA
372,Barn owl,244511,7686,2872,1275,672,603,1080,694,185,FA
373,William McKinley,33521,8344,6735,2786,1384,1402,2382,1372,489,FA
374,Arctic tern,239413,7695,1187,631,386,245,549,271,34,FA
375,Captain Scarlet and the Mysterons,166858,7841,1991,527,309,218,441,107,141,FA
376,Josquin des Prez,55021,8058,2079,639,362,277,543,288,147,FA
377,Francium,10821,8442,2316,1192,631,561,1052,603,217,FA
378,Apollo 6,231436,7707,555,268,186,82,240,32,62,FA
